Country	Population	0+	A+	B+	AB+	O-	A-	B-	AB-
Argentina	44,270,440	45.4	34.26	8.59	2.64	8.4	0.44	0.21	0.06
Armenia	2,931,568	29	46.3	12	5.6	2	3.7	1	0.4
Australia	24,642,693	40	31	8	2	9	7	2	1
Austria	8,592,470	30	37	12	5	6	7	2	1
Bahrain	1,418,695	48.48	19.35	22.61	3.67	3.27	1.33	1.04	0.25
Bangladesh	164,833,667	31.8	21.44	34.58	16.85	1.39	0.96	0.96	0.64
Belgium	11,444,053	38	34	8.6	4.1	7	6	1.5	0.8
Bolivia	11,053,376	51.53	29.45	10.11	1.15	4.39	2.73	0.54	0.1
Bosnia and Herzegovina	3,792,730	31	36	12	6	5	7	2	1
Brazil	211,248,418	36	34	8	2.5	9	8	2	0.5
Bulgaria	7,045,097	28	37	13	7	5	7	2	1
Cambodia	16,077,172	46.7	27.2	18.5	4.9	1.3	0.8	0.5	0.1
Cameroon	24,515,533	42.8	38.8	12	3.3	1.4	1.2	0.4	0.1
Canada	36,627,140	39	36	7.6	2.5	7	6	1.4	0.5
Chile	18,314,060	85.5	8.7	3.35	1	1.2	0.1	0.05	0.1
China Mainland	1,388,251,023	47.7	27.8	18.9	5	0.28	0.19	0.1	0.03
Colombia	49,069,267	61.3	26.11	2.28	1.47	5.13	2.7	0.7	0.31
Croatia	4,207,355	29	36	15	5	5	6	3	1
Cuba	11,486,750	45.8	33.5	10.2	2.9	3.6	2.8	1	0.2
Cyprus	1,189,395	35.22	40.35	11.11	4.72	3.85	3.48	0.87	0.4
Czech Republic	10,555,152	27	36	15	7	5	6	3	1
Democratic Republic of the Congo	85,358,111	59.5	21.3	15.2	2.4	1	0.3	0.2	0.1
Denmark	5,711,902	35	37	8	4	6	7	2	1
Dominican Republic	10,766,932	46.2	26.4	16.9	3.1	3.7	2.1	1.4	0.2
Ecuador	16,665,756	75	14	7.1	0.5	2.38	0.7	0.3	0.02
Egypt	95,220,838	52	24	12.4	3.8	5	2	0.6	0.2
El Salvador	6,171,483	62	23	11	1	1	1	0.7	0.3
Estonia	1,305,745	29.5	30.8	20.7	6.3	4.3	4.5	3	0.9
Ethiopia	104,352,727	39	28	21	5	3	2	1	1
Fiji	912,208	43	33.3	16.5	4.8	1	0.7	0.5	0.2
Finland	5,541,328	28	35	16	7	5	6	2	1
France	64,939,560	36	37	9	3	6	7	1	1
Germany	80,635,980	35	37	9	4	6	6	2	1
Ghana	29,779,258	53.8	17.6	18.3	2.8	4.5	1.3	1.3	0.2
Greece	10,892,849	37.4	32.9	11	3.7	7	5	2	1
Guinea	13,291,741	46.88	21.64	22.86	4.52	2	0.9	1	0.2
Honduras	9,348,898	57.5	27	7.8	2.5	2.7	1.7	0.6	0.2
Hong Kong	7,402,115	41.5	26.13	25.34	6.35	0.32	0.17	0.14	0.05
Hungary	9,787,801	27	33	16	8	5	7	3	1
Iceland	334,311	46.8	27.2	9	2	8.2	4.8	1.6	0.4
India	1,342,561,902	27.85	20.8	38.14	8.93	1.43	0.57	1.79	0.49
Indonesia	263,519,317	36.82	25.87	28.85	7.96	0.18	0.13	0.15	0.04
Iran	80,982,137	33.5	27	22.2	7	4	3	2.5	0.8
Iraq	38,657,787	32.1	25	25.6	7.4	3.6	2.7	2.7	0.9
Ireland	4,749,263	47	26	9	2	8	5	2	1
Israel	8,323,659	32	34	17	7	3	4	2	1
Italy	59,797,969	39	36	7.5	2.5	7	6	1.5	0.5
Ivory Coast	23,869,656	46.5	22.5	22.5	4.3	2	1	1	0.2
Jamaica	2,813,316	47	23	20	3	3.5	2	1	0.5
Japan	126,044,340	29.9	39.8	19.9	9.9	0.15	0.2	0.1	0.05
Kazakhstan	18,431,447	30.7	29.8	24.2	8.3	2.3	2.2	1.8	0.7
Kenya	48,470,780	45.6	25.2	21.28	4.2	1.8	1	0.9	0.02
Latvia	1,944,122	30.6	31	17	6	5.4	6	3	1
Lebanon	6,039,438	38.4	32.3	9.5	3.2	7.7	6.5	1.7	0.7
Libya	6,408,990	42.64	28.86	11.19	4.5	6.26	4.24	1.64	0.67
Liechtenstein	38,140	34	37	10	4	6	6.5	1.8	0.7
Lithuania	2,827,573	36	33	11	4	7	6	2	1
Luxemburg	587,297	35	37	9	4	6	6	2	1
Macao	606,413	41.5	26.1	25.4	6.3	0.33	0.17	0.15	0.05
Malaysia	31,165,480	34.32	30.35	27.37	7.46	0.17	0.15	0.14	0.04
Malta	432,810	38	41	7	3	5	4.5	1	0.5
Mauritania	4,266,765	46.3	26.68	17.47	3.85	2.8	1.6	1.1	0.2
Mauritius	1,267,303	38.3	26	25	6.7	1.7	1	1	0.3
Mexico	130,227,836	59.09	26.23	8.53	1.73	2.73	1.21	0.4	0.08
Moldova	4,043,722	28.5	31.8	17.6	7	5	6	3	1.1
Mongolia	3,052,044	55.4	27.7	10.9	4.96	0.6	0.3	0.1	0.04
Morocco	36,328,588	42.3	29.8	14.3	4.1	4.5	3.1	1.5	0.4
Myanmar	53,507,932	35.7	23.8	32.7	6.95	0.3	0.2	0.3	0.05
Nepal	29,188,100	35.2	28.3	27.1	8.6	0.3	0.2	0.2	0.1
Netherlands	17,033,012	39.5	35	6.7	2.5	7.5	7	1.3	0.5
New Zealand	4,604,996	38	32	9	3	9	6	2	1
Nigeria	191,851,411	51.3	22.4	20.7	2.6	1.6	0.7	0.6	0.1
North Korea	25,432,033	27.15	31.08	30.15	11.32	0.08	0.1	0.1	0.03
North Macedonia	2,083,690	30	34	15	6	5	6	3	1
Norway	5,330,986	33.2	41.6	6.8	3.4	5.8	7.4	1.2	0.6
Pakistan	180,440,005	26.63	21.6	34.4	9.52	2.17	1.66	3.57	0.45
Papua New Guinea	7,952,511	48	37.2	9.6	2.8	1	0.8	0.4	0.2
Peru	32,167,717	70	18.4	7.8	1.6	1.4	0.5	0.28	0.02
Philippines	103,801,747	45.9	22.9	24.9	5.97	0.1	0.1	0.1	0.03
Poland	38,563,480	31	32	15	7	6	6	2	1
Portugal	10,264,672	36.2	39.8	6.6	2.9	6.1	6.8	1.1	0.5
Romania	19,237,087	28	36.5	13.6	6.8	5	6.5	2.4	1.2
Russia	143,374,801	28	30	20	7	4.9	5.8	3.2	1.1
Saudi Arabia	32,744,532	47.8	23.9	17	4	4	2	1	0.3
Serbia	8,776,827	31.92	35.28	12.6	4.2	6.08	6.72	2.4	0.8
Singapore	5,784,819	43.6	23.9	24.4	6	0.9	0.7	0.4	0.1
Slovakia	5,432,265	27.2	35.7	15.3	6.8	4.8	6.3	2.7	1.2
Slovenia	2,071,258	31	33	12	6	7	7	3	1
South Africa	55,437,815	39	32	12	3	6	5	2	1
South Korea	50,748,307	27.9	33.87	26.92	10.98	0.1	0.13	0.08	0.02
Spain	46,070,163	35	36	8	2.5	9	7	2	0.5
Sudan	40,827,975	48	27.7	15.2	2.8	3.5	1.8	0.8	0.2
Sweden	9,920,843	32	37	10	5	6	7	2	1
Switzerland	8,454,321	35	40	7	3	6	7	1	1
Syria	18,920,698	43	30	14	3.7	5	3	1	0.3
Taiwan	23,234,936	43.9	25.9	23.9	6	0.17	0.1	0.01	0.02
Thailand	68,298,027	40.8	16.9	36.8	4.97	0.2	0.1	0.2	0.03
Turkey	80,420,065	29.8	37.8	14.2	7.2	3.9	4.7	1.6	0.8
Uganda	43,276,492	43.7	39	10.7	3.9	1.3	1	0.3	0.1
Ukraine	44,404,078	32	34	15	5	5	6	2	1
United Arab Emirates	3,398,017	44.1	21.9	20.9	4.3	4.3	2.1	2	0.4
United Kingdom	65,512,375	38	32	8	3	9	7	2	1
United States	326,481,533	37.4	35.7	8.5	3.4	6.6	6.3	1.5	0.6
Venezuela	32,011,082	58.3	28.2	5.6	1.9	3.7	1.8	0.4	0.1
Vietnam	95,414,640	41.7	21.9	30.8	4.98	0.3	0.1	0.2	0.02
Yemen	29,246,429	47.84	27.5	15.32	2.14	3.66	2.1	1.17	0.16
Zimbabwe	16,912,880	63.3	18.5	14.6	0.99	1.7	0.5	0.4	0.01
World	6671609845	38.67	27.42	22.02	5.88	2.55	1.99	1.11	0.36